country,founded,id,industry,linkedin_url,locality,name,region,size,website
malaysia,2001,thaiporemalaysia,food & beverages,linkedin.com/company/thaiporemalaysia,petaling jaya,thaipore wines & spirits (m) sdn bhd,selangor,11-50,thaipore.com.my
malaysia,2001,sarafiah-natural-resources-sdn-bhd,food & beverages,linkedin.com/company/sarafiah-natural-resources-sdn-bhd,port klang,sarafiah natural resources sdn bhd,selangor,51-200,sarafiahoil.com.my
malaysia,2000,tastiway,food & beverages,linkedin.com/company/tastiway,alor setar,tastiway sdn. bhd.,kedah,51-200,tastiway.com
malaysia,1999,the-big-rajah-food-caterers,food & beverages,linkedin.com/company/the-big-rajah-food-caterers,petaling jaya,the big rajah food caterers,selangor,51-200,thebigrajah.com
malaysia,1999,kopitiam-asia-pacific-sdn-bhd,food & beverages,linkedin.com/company/kopitiam-asia-pacific-sdn-bhd,subang jaya,kopitiam asia pacific sdn bhd,selangor,201-500,oldtownmy.com
malaysia,1998,menya-miyabi-hokkaido-ramen,food & beverages,linkedin.com/company/menya-miyabi-hokkaido-ramen,bayan lepas,menya miyabi hokkaido ramen,pulau pinang,1-10,menya-miyabi.com
malaysia,1998,h&t-group,food & beverages,linkedin.com/company/h&t-group,kota kinabalu,h&t group,sabah,11-50,hntgroup.com
malaysia,1998,rotiboy-bakeshoppe-sdn-bhd,food & beverages,linkedin.com/company/rotiboy-bakeshoppe-sdn-bhd,rawang,rotiboy bakeshoppe sdn bhd,selangor,201-500,
malaysia,1997,domino_pizza_malaysia&singapore,food & beverages,linkedin.com/company/domino_pizza_malaysia&singapore,shah alam,domino's pizza malaysia & singapore,selangor,1001-5000,dominos.com.my
malaysia,1997,us-pizza-malaysia,food & beverages,linkedin.com/company/us-pizza-malaysia,george town,us pizza malaysia,penang,11-50,
malaysia,1997,nineteen-o-one-sdn.-bhd.,food & beverages,linkedin.com/company/nineteen-o-one-sdn.-bhd.,shah alam,nineteen o one sdn. bhd.,selangor,51-200,1901.com
malaysia,1997,health-paradise-sdn-bhd,food & beverages,linkedin.com/company/health-paradise-sdn-bhd,subang jaya,health paradise sdn bhd,selangor,1-10,healthparadise-organic.com
malaysia,1995,segi-seri-sdn-bhd,food & beverages,linkedin.com/company/segi-seri-sdn-bhd,shah alam,segi seri sdn bhd,selangor,201-500,segiseri.com
malaysia,1995,pacific-west-malaysia,food & beverages,linkedin.com/company/pacific-west-malaysia,butterworth,pacific west malaysia,penang,51-200,
malaysia,1993,legend-of-tea-sdn-bhd,food & beverages,linkedin.com/company/legend-of-tea-sdn-bhd,ipoh,legend of tea sdn bhd,perak,11-50,legend-of-tea.com.my
malaysia,1993,mewaholeo-industries-sdn-bhd,food & beverages,linkedin.com/company/mewaholeo-industries-sdn-bhd,pasir gudang,mewaholeo industries sdn bhd,johor,501-1000,
malaysia,1993,deluxe-rich,food & beverages,linkedin.com/company/deluxe-rich,kluang,deluxe rich sdn bhd,johor,51-200,deluxe-rich.com
malaysia,1992,linaco-group,food & beverages,linkedin.com/company/linaco-group,shah alam,linaco group,selangor,1001-5000,linaco.com.my
malaysia,1992,linaco-resources-sdn-bhd,food & beverages,linkedin.com/company/linaco-resources-sdn-bhd,shah alam,linaco group of companies,selangor,1001-5000,
malaysia,1992,jinwei,food & beverages,linkedin.com/company/jinwei,butterworth,jinwei,pulau pinang,11-50,jinwei.co
malaysia,1991,enrico's,food & beverages,linkedin.com/company/enrico's,bukit mertajam,enrico's raviraj sdn bhd,penang,51-200,enrico.com.my
malaysia,1989,yishensu,food & beverages,linkedin.com/company/yishensu,ipoh,yishensu group,perak,51-200,yishensu.com
malaysia,1989,nature's-health-products-sdn.-bhd,food & beverages,linkedin.com/company/nature's-health-products-sdn.-bhd,klang,nature's health products sdn. bhd,selangor,1-10,nhpchlorophyll.com
malaysia,1988,pacific-inter-link-sdn-bhd,food & beverages,linkedin.com/company/pacific-inter-link-sdn-bhd,kuala lumpur,pacific inter-link sdn bhd (pil group),kuala lumpur,5001-10000,pilgroup.com
malaysia,1985,msm-kitchen,food & beverages,linkedin.com/company/msm-kitchen,seri kembangan,msm kitchen sdn bhd,selangor,501-1000,msmmgroup.com
malaysia,1984,pastry-pro-malaysia,food & beverages,linkedin.com/company/pastry-pro-malaysia,kuala lumpur,pastry pro malaysia,kuala lumpur,51-200,pastrypro.com.my
malaysia,1983,spfood,food & beverages,linkedin.com/company/spfood,petaling jaya,s&p industries sdn bhd,selangor,201-500,spfood.com
malaysia,1982,mistercoffeemalaysia,food & beverages,linkedin.com/company/mistercoffeemalaysia,petaling jaya,mister coffee,selangor,51-200,mistercoffee.com.my
malaysia,1982,eng-sheng,food & beverages,linkedin.com/company/eng-sheng,shah alam,eng sheng,selangor,201-500,engsheng.com
malaysia,1977,spritzer-bhd,food & beverages,linkedin.com/company/spritzer-bhd,ipoh,spritzer bhd,perak,501-1000,spritzer.com.my
malaysia,1977,malaysian-institute-of-baking,food & beverages,linkedin.com/company/malaysian-institute-of-baking,petaling jaya,malaysian institute of baking,selangor,11-50,mib.edu.my
malaysia,1975,teo-hong-tai,food & beverages,linkedin.com/company/teo-hong-tai,kuching,teo hong tai,sarawak,51-200,
malaysia,1974,kingspotongmy,food & beverages,linkedin.com/company/kingspotongmy,shah alam,king's potong ice cream malaysia,selangor,501-1000,iluvkingspotong.com
malaysia,1973,etikagroup,food & beverages,linkedin.com/company/etikagroup,bandar baru bangi,permanis sdn bhd (bottler for pepsico malaysia),selangor,1001-5000,etikaholdings.com
malaysia,1962,lees-frozen-food-sdn-bhd,food & beverages,linkedin.com/company/lees-frozen-food-sdn-bhd,kuala lumpur,lees frozen food sdn bhd,kuala lumpur,51-200,leesfrozen.com
malaysia,1929,chop-tong-guan-c-t-g,food & beverages,linkedin.com/company/chop-tong-guan-c-t-g,simpang empat,chop tong guan (ctg),perak,201-500,tongguan.com.my
malaysia,1912,nestle-my,food & beverages,linkedin.com/company/nestle-my,petaling jaya,nestlé malaysia,selangor,5001-10000,
malaysia,1912,monin-asia-pacific,food & beverages,linkedin.com/company/monin-asia-pacific,rawang,monin asia-pacific,selangor,51-200,
malaysia,1903,t-hasegawa-flavours-kuala-lumpur-sdn-bhd,food & beverages,linkedin.com/company/t-hasegawa-flavours-kuala-lumpur-sdn-bhd,klang,t hasegawa flavours (kuala lumpur) sdn bhd,selangor,201-500,hasegawa.com.my
malaysia,0,jasatera-bhd,food & beverages,linkedin.com/company/jasatera-bhd,petaling jaya,jasatera bhd,selangor,1-10,
malaysia,0,bhojanam-caterers-events,food & beverages,linkedin.com/company/bhojanam-caterers-events,shah alam,bhojanam catering & events,selangor,1-10,
malaysia,0,universal-nutribeverage-sdn-bhd,food & beverages,linkedin.com/company/universal-nutribeverage-sdn-bhd,shah alam,universal nutribeverage sdn bhd,selangor,11-50,nutribev.com
malaysia,0,burgertory,food & beverages,linkedin.com/company/burgertory,subang jaya,burgertory,selangor,1-10,burgertory.com.my
malaysia,0,barkath-group,food & beverages,linkedin.com/company/barkath-group,pulau pinang,barkath group,pahang,1-10,
malaysia,0,dutch-lady-milk-industries-m-bhd,food & beverages,linkedin.com/company/dutch-lady-milk-industries-m-bhd,petaling jaya,dutch lady milk industries (m) bhd,selangor,1-10,coberco.com
malaysia,0,marrybrown-sdn-bhd,food & beverages,linkedin.com/company/marrybrown-sdn-bhd,johor bahru,marrybrown sdn bhd,johor,51-200,marrybrown.com.my
malaysia,0,syarikat-kenderaan-melayu-kelantan-bhd-,food & beverages,linkedin.com/company/syarikat-kenderaan-melayu-kelantan-bhd-,kota bahru,syarikat kenderaan melayu kelantan bhd.,kelantan,1-10,
